filename,platform,views,likes,shares,comments
huberman_001.mp4,youtube,73910,1182,,79
huberman_002.mp4,youtube,119016,2335,,44
huberman_003.mp4,youtube,82231,2359,,41
huberman_004.mp4,youtube,75351,2411,,34
huberman_005.mp4,youtube,90804,3505,,35
huberman_006.mp4,youtube,59250,1260,,46
huberman_007.mp4,youtube,336423,7935,,259
huberman_008.mp4,youtube,123807,2794,,53
ali_001.mp4,youtube,10898,728,,34
ali_002.mp4,youtube,18440,970,,8
ali_003.mp4,youtube,14272,198,,35
ali_004.mp4,youtube,12806,546,,15
ali_005.mp4,youtube,30553,1143,,16
ali_006.mp4,youtube,18136,666,,20
ali_007.mp4,youtube,20887,519,,10
ali_008.mp4,youtube,21335,619,,13
sahil_001.mp4,youtube,1082,46,,2
sahil_002.mp4,youtube,2938,202,,1
sahil_003.mp4,youtube,2140,99,,2
sahil_004.mp4,youtube,2856,217,,2
sahil_005.mp4,youtube,1881,65,,2
sahil_006.mp4,youtube,4210,162,,1
sahil_007.mp4,youtube,2214,97,,3
sahil_008.mp4,youtube,1209,44,,
