filename,label,n_seconds,attention_mean,social_mean,language_mean,valuation_mean,auditory_mean,motion_mean,narrative_mean,attention_hook,social_hook,language_hook,valuation_hook,auditory_hook,motion_hook,narrative_hook,attention_offset,social_offset,language_offset,valuation_offset,auditory_offset,motion_offset,narrative_offset,attention_peak_s,social_peak_s,language_peak_s,valuation_peak_s,auditory_peak_s,motion_peak_s,narrative_peak_s,attention_ts_ratio,social_ts_ratio,language_ts_ratio,valuation_ts_ratio,auditory_ts_ratio,motion_ts_ratio,narrative_ts_ratio,composite_raw,gfp_mean,gfp_hook,gfp_offset,vmPFC_TPJ_coupling,pleasantness_index
ali_001.mp4,ali_001,63,0.037044,0.068501,0.042068,0.066064,0.066212,0.025891,0.072017,0.03392,0.059229,0.025856,0.048132,0.049726,-0.041555,0.056182,0.061699,0.029784,-0.018222,0.020675,0.072586,-0.059013,0.006747,26,26,33,26,26,32,26,0.7449,0.8554,0.8128,0.74,0.6598,-1.0853,0.8345,0.054862,0.195684,0.212829,0.148359,0.9818,0.007666
ali_002.mp4,ali_002,35,0.013772,0.032008,0.027327,0.036836,0.042886,0.016482,0.037018,-0.006062,0.020683,0.058299,0.032967,0.016803,0.00496,0.039346,0.099057,0.110476,0.099373,0.109366,0.110086,0.045832,0.118105,34,33,33,33,34,33,33,-0.58,0.3979,1.766,0.6506,0.2694,0.1412,0.7741,0.027891,0.119212,0.127809,0.16346,0.9899,-0.003491
ali_003.mp4,ali_003,25,0.047076,0.070298,0.062853,0.069648,0.055992,0.038684,0.080357,0.006952,0.034623,0.010383,0.023727,0.014114,-0.008482,0.034641,0.124534,0.145304,0.130722,0.140026,0.129983,0.070387,0.153764,24,24,24,24,24,21,24,0.0512,0.3755,0.1488,0.261,0.1477,-0.1621,0.3506,0.061783,0.167495,0.137605,0.196683,0.992,0.010844
ali_004.mp4,ali_004,72,0.038004,0.040935,0.007955,0.040517,0.05835,0.004706,0.036432,0.006449,0.036729,-0.020235,0.019978,0.045285,-0.070609,0.020324,0.161415,0.102916,0.02203,0.095895,0.121605,0.037351,0.074247,71,71,71,71,71,46,71,-0.2299,0.5544,-2.301,0.2086,0.5208,-5.9832,0.2441,0.034865,0.151355,0.208857,0.220816,0.9916,0.011096
ali_005.mp4,ali_005,37,0.041889,0.085105,0.05915,0.081476,0.089044,0.020705,0.088951,-0.008686,0.009728,-0.034409,-0.00375,0.012967,-0.081367,0.00071,0.165876,0.156486,0.129694,0.152061,0.160098,0.071588,0.15536,36,36,36,36,36,33,36,-0.3408,0.0276,-0.5014,-0.0945,0.0512,-1.9615,-0.0417,0.068024,0.207764,0.182407,0.200561,0.9979,0.010508
ali_006.mp4,ali_006,221,0.019003,0.019396,0.003593,0.015049,0.026827,-0.006829,0.012673,0.030727,0.038858,-0.037175,0.014518,0.055148,-0.109148,0.011665,0.10754,0.07404,0.0306,0.056979,0.094461,-0.020279,0.049201,101,35,35,36,101,35,36,1.4946,2.2422,-6.5189,1.2911,2.0472,-23.3649,1.3938,0.015508,0.114193,0.210123,0.142903,0.9847,-0.001396
ali_007.mp4,ali_007,49,0.0303,0.046326,0.014025,0.043046,0.063363,0.012231,0.044375,-0.03761,0.001866,-0.042267,-0.014277,0.000808,-0.085791,-0.010908,0.164548,0.143822,0.097368,0.137252,0.164601,0.052034,0.130332,48,48,22,48,48,21,22,-1.2064,-0.1034,-1.9897,-0.3913,-0.1497,-3.3103,-0.2876,0.036608,0.176072,0.195403,0.198106,0.9957,0.019073
ali_008.mp4,ali_008,87,0.03785,0.040995,0.014093,0.039384,0.054361,0.005372,0.037524,0.029279,0.036883,-0.036745,0.014454,0.051498,-0.076243,0.013869,0.129086,0.109341,0.090185,0.104434,0.110592,0.022483,0.103359,86,86,79,86,86,44,79,0.3406,0.5694,-2.3626,0.0885,0.6676,-6.424,0.0864,0.035381,0.140269,0.156808,0.160293,0.9926,0.009275
huberman_001.mp4,huberman_001,43,0.000811,0.020645,-0.016419,0.016886,0.048165,-0.004422,0.011693,0.022864,0.036676,-0.016859,0.018153,0.053646,-0.052676,0.017753,0.147171,0.140958,0.113879,0.133543,0.172489,0.041522,0.132195,42,42,42,42,42,35,42,2.5007,1.0308,-2.4386,0.3278,0.7853,-9.7643,0.4017,0.00982,0.181978,0.175206,0.191874,0.997,0.028419
huberman_002.mp4,huberman_002,45,0.04478,0.05374,0.001717,0.052319,0.07506,0.027929,0.043916,0.01775,0.014187,-0.076091,-0.009456,0.048175,-0.11365,-0.017366,0.104049,0.135531,0.131785,0.136624,0.149944,0.084601,0.139176,44,44,44,44,44,41,44,0.2101,0.0849,-4.7467,-0.2497,0.4726,-2.2624,-0.4498,0.043508,0.207561,0.216969,0.202824,0.9909,0.017354
